Date,Open,High,Low,Close,AdjClose,Volume
3/1/2017,15400,15525,15400,15500,14676.91895,20441800
3/2/2017,15650,15675,15475,15500,14676.91895,15661900
3/3/2017,15450,15550,15425,15475,14653.24609,17690800
3/6/2017,15400,15475,15350,15475,14653.24609,8932300
3/7/2017,15400,15500,15400,15450,14629.57422,10516400
3/8/2017,15500,15525,15450,15500,14676.91895,17478300
3/9/2017,15625,15700,15500,15625,14795.28027,9464400
3/10/2017,15700,15700,15475,15625,14795.28027,6877200
3/13/2017,15600,15650,15475,15550,14724.26367,4986600
3/14/2017,15700,15900,15650,15675,14842.62695,12445000
3/15/2017,15775,15775,15525,15650,14818.9541,14057200
3/16/2017,15900,16000,15800,15875,15032.00586,37204300
3/17/2017,16000,16200,15875,15950,15103.02441,44761700
3/20/2017,16100,16225,15950,16075,15221.38477,38255300
3/21/2017,16225,16275,16150,16250,15387.09277,26646300
3/22/2017,16050,16350,16050,16325,15458.11035,35764200
3/23/2017,16400,16750,16375,16600,15718.50781,39154800
3/24/2017,16800,16800,16450,16550,15671.16113,17280600
3/27/2017,16550,16625,16500,16550,15671.16113,14904800
3/29/2017,16675,16825,16625,16700,15813.19629,22529100
3/30/2017,16825,16875,16700,16825,15931.55664,19297600
3/31/2017,16825,17000,16550,16550,15671.16113,16328500
4/3/2017,16575,16950,16575,16575,15694.83496,37377800
4/4/2017,16750,16900,16650,16750,15860.54004,14819300
4/5/2017,16750,16750,16750,16750,15860.54004,0
4/6/2017,17200,17375,17200,17325,16405.00977,23406900
4/7/2017,17475,17475,17200,17350,16428.67969,26667400
4/10/2017,17625,17750,17250,17350,16428.67969,15961100
4/11/2017,17500,17600,17250,17450,16523.37109,17740400
4/12/2017,17450,17700,17425,17650,16712.75,11365100
4/13/2017,17700,17700,17200,17350,16428.67969,10557200
4/17/2017,17350,17350,16700,16925,16147.23633,18796800
4/18/2017,16975,17050,16850,16925,16147.23633,20443900
4/19/2017,16925,16925,16925,16925,16147.23633,0
